"tt0015724"	"6.2"	"19"	\N	\N	\N
"tt0035423"	"6.4"	"72032"	"3107"	"2579"	\N
"tt0059900"	"6.8"	"21"	\N	\N	\N
"tt0064994"	"7.6"	"1387"	\N	\N	\N
"tt0065188"	"6.7"	"19"	\N	\N	\N
"tt0066435"	"5.6"	"46"	\N	\N	\N
"tt0066498"	"7.9"	"1995"	\N	\N	\N
"tt0077432"	"6.7"	"6"	\N	\N	\N
"tt0079987"	"6.8"	"40"	\N	\N	\N
"tt0081145"	"5.3"	"204"	\N	\N	\N
"tt0081721"	"6.5"	"276"	\N	\N	\N
"tt0084015"	"7.3"	"39"	\N	\N	\N
"tt0084548"	"8.1"	"2549"	\N	\N	\N
"tt0084551"	"5.3"	"9"	\N	\N	\N
"tt0084870"	"7.5"	"177"	\N	\N	\N
"tt0088267"	"5.6"	"66"	\N	\N	\N
"tt0088751"	"5.8"	"178"	\N	\N	\N
"tt0090665"	"6.8"	"1059"	\N	\N	\N
"tt0090785"	"6.2"	"30"	\N	\N	\N
"tt0091899"	"6.1"	"116"	\N	\N	\N
"tt0092024"	"7.9"	"25"	\N	\N	\N
"tt0092507"	"7.2"	"242"	\N	\N	\N
"tt0092589"	"4.8"	"17"	\N	\N	\N
"tt0092926"	"2.4"	"150"	\N	\N	\N
"tt0093061"	"7.7"	"11"	\N	\N	\N
"tt0093210"	"5.8"	"12"	\N	\N	\N
"tt0093309"	"7.0"	"99"	\N	\N	\N
"tt0093613"	"5.1"	"46"	\N	\N	\N
"tt0093662"	"6.1"	"48"	\N	\N	\N
"tt0093989"	"7.0"	"8"	\N	\N	\N
"tt0094004"	"5.7"	"60"	\N	\N	\N
"tt0094045"	"7.0"	"8"	\N	\N	\N
"tt0094073"	"7.1"	"10"	\N	\N	\N
"tt0094376"	"5.7"	"146"	\N	\N	\N
"tt0094666"	"4.4"	"74"	\N	\N	\N
"tt0094830"	"7.0"	"36"	\N	\N	\N
"tt0094841"	"6.7"	"174"	\N	\N	\N
"tt0094857"	"6.0"	"66"	\N	\N	\N
"tt0094874"	"5.0"	"5"	\N	\N	\N
"tt0094900"	"4.9"	"163"	\N	\N	\N
"tt0094908"	"4.4"	"329"	\N	\N	\N
"tt0094926"	"5.0"	"69"	\N	\N	\N
"tt0094997"	"4.5"	"1034"	\N	\N	\N
"tt0095006"	"4.3"	"15"	\N	\N	\N
"tt0095095"	"3.8"	"62"	\N	\N	\N
"tt0095111"	"7.5"	"422"	\N	\N	\N
"tt0095290"	"6.2"	"23"	\N	\N	\N
"tt0095335"	"5.5"	"6"	\N	\N	\N
"tt0095394"	"7.1"	"139"	\N	\N	\N
"tt0095450"	"7.1"	"250"	\N	\N	\N
"tt0095455"	"6.3"	"74"	\N	\N	\N
"tt0095480"	"6.8"	"42"	\N	\N	\N
"tt0095761"	"5.7"	"13"	\N	\N	\N
"tt0095821"	"3.6"	"54"	\N	\N	\N
"tt0095831"	"4.3"	"7"	\N	\N	\N
"tt0095840"	"4.6"	"45"	\N	\N	\N
"tt0095878"	"4.6"	"369"	\N	\N	\N
"tt0095902"	"6.7"	"43"	\N	\N	\N
"tt0096025"	"5.6"	"66"	\N	\N	\N
"tt0096056"	"6.3"	"584"	\N	\N	\N
"tt0096075"	"5.5"	"29"	\N	\N	\N
"tt0096090"	"5.0"	"13"	\N	\N	\N
"tt0096154"	"3.6"	"62"	\N	\N	\N
"tt0096174"	"6.9"	"70"	\N	\N	\N
"tt0096177"	"4.5"	"82"	\N	\N	\N
"tt0096222"	"5.2"	"59"	\N	\N	\N
"tt0096264"	"7.9"	"28"	\N	\N	\N
"tt0096296"	"7.2"	"51"	\N	\N	\N
"tt0096389"	"6.3"	"36"	\N	\N	\N
"tt0096397"	"6.0"	"9"	\N	\N	\N
"tt0096469"	"5.4"	"18"	\N	\N	\N
"tt0096506"	"6.0"	"36"	\N	\N	\N
"tt0096513"	"6.8"	"130"	\N	\N	\N
"tt0096752"	"7.6"	"70"	\N	\N	\N
"tt0096767"	"3.2"	"28"	\N	\N	\N
"tt0096775"	"4.9"	"12"	\N	\N	\N
"tt0096786"	"2.8"	"1084"	\N	\N	\N
"tt0096797"	"5.3"	"43"	\N	\N	\N
"tt0096806"	"4.0"	"127"	\N	\N	\N
"tt0096817"	"5.9"	"15"	\N	\N	\N
"tt0096825"	"3.8"	"27"	\N	\N	\N
"tt0096830"	"3.8"	"282"	\N	\N	\N
"tt0096837"	"4.5"	"62"	\N	\N	\N
"tt0096841"	"7.0"	"773"	\N	\N	\N
"tt0096845"	"6.2"	"40"	\N	\N	\N
"tt0096857"	"7.3"	"60"	\N	\N	\N
"tt0096859"	"6.0"	"246"	\N	\N	\N
"tt0096860"	"2.4"	"23"	\N	\N	\N
"tt0096871"	"5.9"	"1228"	\N	\N	\N
"tt0096875"	"5.4"	"2864"	\N	\N	\N
"tt0096879"	"5.9"	"26"	\N	\N	\N
"tt0096910"	"4.8"	"9"	\N	\N	\N
"tt0096934"	"5.2"	"44"	\N	\N	\N
"tt0096937"	"7.1"	"80"	\N	\N	\N
"tt0096954"	"4.6"	"382"	\N	\N	\N
"tt0096984"	"6.8"	"20"	\N	\N	\N
"tt0096992"	"6.9"	"22"	\N	\N	\N
"tt0096995"	"3.6"	"76"	\N	\N	\N
"tt0097004"	"3.8"	"517"	\N	\N	\N
"tt0097033"	"7.7"	"88"	\N	\N	\N
"tt0097049"	"5.3"	"374"	\N	\N	\N
"tt0097062"	"7.3"	"513"	\N	\N	\N
"tt0097064"	"5.4"	"34"	\N	\N	\N
"tt0097106"	"7.4"	"2845"	\N	\N	\N
"tt0097107"	"6.2"	"51"	\N	\N	\N
"tt0097111"	"5.2"	"20"	\N	\N	\N
"tt0097115"	"5.8"	"652"	\N	\N	\N
"tt0097122"	"6.5"	"6"	\N	\N	\N
"tt0097129"	"5.9"	"69"	\N	\N	\N
"tt0097140"	"7.4"	"69"	\N	\N	\N
"tt0097176"	"7.2"	"673"	\N	\N	\N
"tt0097178"	"2.9"	"173"	\N	\N	\N
"tt0097184"	"4.7"	"123"	\N	\N	\N
